A SPECTOSCOPIC STUDY OF THE DECOMPOSITION AND SYNTHESIS OF ORGANIC COMPOUNDS BY ELECTRICAL DISCHARGES. II. THE ELECTRODELESS AND GLOW DISCHARGES,"['JACKSON, JOHN MATHEWS']",1,1932,['Organic chemistry'],['Organic chemistry'],['Pure sciences'],,DIVISION OF PHYSICAL SCIENCES,CHEMISTRY
ANALYTICAL INVESTIGATIONS IN WARING'S THEOREM,"['JAMES, RALPH DUNCAN']",1,1932,['Mathematics'],['Mathematics'],['Pure sciences'],,DIVISION OF PHYSICAL SCIENCES,MATHEMATICS
STUDIES ON THE HISTOPATHOLOGY OF THE PALATINE TONSIL AND ON THE IMMUNOLOGICAL REACTIONS OF THE ADJACENT TISSUES,"['JASON, ROBERT STEWART']",1,1932,['Pathology'],['Pathology'],['Health and environmental sciences'],,DIVISION OF BIOLOGICAL SCIENCES,PATHOLOGY
THE VELOCITY OF HYDROLYSIS OF STEREOISOMERIC HYDRAZONES AND OXIMES,"['JOHNSON, RAYMOND WRIGHT']",1,1932,['Organic chemistry'],['Organic chemistry'],['Pure sciences'],,DIVISION OF PHYSICAL SCIENCES,CHEMISTRY
EFFECTS OF POPULATION DENSITY ON THE RATE OF REPRODUCTION IN OXYTRICHA,"['JOHNSON, WILLIS H.']",1,1932,['Ecology'],['Ecology'],['Biological sciences'],,DIVISION OF BIOLOGICAL SCIENCES,ZOOLOGY
STUDIES OF THE EMISSION LINES IN THE SPECTRUM OF THE SOLAR CHROMOSPHERE,"['KEENAN, PHILIP CHILDS']",31,1932,['Astrophysics'],['Astrophysics'],['Pure sciences'],,DIVISION OF PHYSICAL SCIENCES,ASTRONOMY
AN EXPERIMENT WITH MEASUREMENT SCALES IN A CURRICULUM UNIT OF WORLD CITIZENSHIP,"['KEITER, HERMAN STUART']",1,1932,"['Educational tests & measurements', 'Educational evaluation']","['Educational evaluation', 'Educational tests & measurements']",['Education'],,,
"THE C(4)-SACCHARINIC ACIDS VIII. FURTHER ATTEMPTS TO PREPARE 2,2'-DIHYDROXYISOBUTYRIC ACID. 2,3-DIHYDROXYBUTURIC LACTONE FROM GLYCIDOL. THE PREPARATION OF THE TWO IODOHYDRINS OF GLYCEROL","['KLAAS, ROSALIND AMELIA']",1,1932,['Organic chemistry'],['Organic chemistry'],['Pure sciences'],,DIVISION OF PHYSICAL SCIENCES,CHEMISTRY
THE MECHANICAL ANALYSIS OF RELATED SAMPLES OF GLACIAL TILLS,"['KRUMBEIN, WILLIAM C.']",1,1932,['Geology'],['Geology'],['Earth sciences'],,,
ON THE MUSCULAR ACTIVITY OF THE COLON IN THE DOG,"['LAWSON, HAMPDEN CLISBY']",0,1932,['Physiology'],"['Anatomy & physiology', 'Animals']",['Biological sciences'],,DIVISION OF BIOLOGICAL SCIENCES,PHYSIOLOGY
