Year,Division,Department,Name,Post,Diss_Title,,,,,,,,,,,
1911,THE DIVISION OF THE BIOLOGICAL SCIENCES,BOTANY,WILLIAM SKINNER COOPER,"Associate Professor of Botany, University of Minnesota, Minneapolis, Minn.","The Climax Forest of Isle Royale, Lake Superior.",,,,,,,,,,,
1911,THE DIVISION OF THE BIOLOGICAL SCIENCES,BOTANY,SOPHIA HENNION ECKERSON,"Plant Microchemist, Boyce Thompson Institute for Plant Research, Yonkers, N.Y.",A Physiological and Chemical Study of After-Ripening. ,,,,,,,,,,,
1911,THE DIVISION OF THE BIOLOGICAL SCIENCES,BOTANY,ANNA MORSE STARR,"(Died January 13, 1928.)",Comparative Anatomy of Dune Plants.,,,,,,,,,,,
1912,THE DIVISION OF THE BIOLOGICAL SCIENCES,BOTANY,MELVIN AMOS BRANNON,"Chancellor, University of Montana, Helena, Mont.",The Action of Salton Sea Water on Plant Tissues.,,,,,,,,,,,
1912,THE DIVISION OF THE BIOLOGICAL SCIENCES,BOTANY,LAURA CAMPBELL GANO,"(Mrs. Jerome McNeill), Inwood Farm Thonotosassa, Fla.",The Physiographic Ecology of Northern Florida.,,,,,,,,,,,
1912,THE DIVISION OF THE BIOLOGICAL SCIENCES,BOTANY,STELLA MARY HAGUE,"Instructor in Botany, University of Illinois, Urbana, Ill.",A Morphological Study of Diospyros virginiana.,,,,,,,,,,,
1912,THE DIVISION OF THE BIOLOGICAL SCIENCES,BOTANY,ANSEL FRANCIS HEMENWAY,"Professor of Botany, University of Arizona, Tucson, Ariz. ",The Phloem of Dicotyledons.,,,,,,,,,,,
1912,THE DIVISION OF THE BIOLOGICAL SCIENCES,BOTANY,LESTER WHYLAND SHARP,"Professor of Botany, Cornell University, Ithaca, N.Y. ",Spermatogenesis in Equisetum. ,,,,,,,,,,,
1913,THE DIVISION OF THE BIOLOGICAL SCIENCES,BOTANY,WINFRED MCKENZIE ATWOOD,"Professor of Plant Physiology, State Agricultural College, Corvallis, Ore.",A Physiological Study of the Germination of Avena fatua.,,,,,,,,,,,
1913,THE DIVISION OF THE BIOLOGICAL SCIENCES,BOTANY,GEORGE DAMON FULLER,"Associate Professor of Plant Ecology, University of Chicago, Chicago, Ill.",Evaporation and Soil Moisture in Relation to the Succession of Plant Associations.,,,,,,,,,,,
1913,THE DIVISION OF THE BIOLOGICAL SCIENCES,BOTANY,JOHN BENJAMIN HILL,"Professor of Botany, Pennsylvania State College, State College, Pa.",The Anatomy of Six Epiphytic Species of Lycopodium.,,,,,,,,,,,
1913,THE DIVISION OF THE BIOLOGICAL SCIENCES,BOTANY,LEE IRVING KNIGHT,"1025 Locust St., Milwaukee, Wis.",A Study of the Dormancy in Buds of Liriodendron tulipifera.,,,,,,,,,,,
1913,THE DIVISION OF THE BIOLOGICAL SCIENCES,BOTANY,JOHN NATHAN MARTIN,"Professor of Botany, Iowa State College, Ames, Iowa.",Comparative Morphology of Some Leguminosae.,,,,,,,,,,,
1913,THE DIVISION OF THE BIOLOGICAL SCIENCES,BOTANY,LOREN CLIFFORD PETRY,"Professor of Botany, Cornell University, Ithaca, N.Y. ",The Anatomy of Ophioglossum pendulum.,,,,,,,,,,,
1913,THE DIVISION OF THE BIOLOGICAL SCIENCES,BOTANY,NORMA ETTA PFEIFFER,"Morphologist, Boyce Thompson Institute for Plant Research, Yonkers, N.Y.","Morphology of Thismia (Bagnisia) americana, sp. n. ",,,,,,,,,,,
1914,THE DIVISION OF THE BIOLOGICAL SCIENCES,BOTANY,HANNA CAROLINE AASE,"Assistant Professor of Botany, State College of Washington, Pullman, Wash.","Vascular Anatomy of the ""Megasporophyll"" in Conifers.",,,,,,,,,,,
1914,THE DIVISION OF THE BIOLOGICAL SCIENCES,BOTANY,GEORGE SMITH BRYAN,"Professor of Botany, University of Wisconsin, Madison, Wis.",The Archegonium of Sphagnum subsecundum.,,,,,,,,,,,
1914,THE DIVISION OF THE BIOLOGICAL SCIENCES,BOTANY,JOSEPH STUART CALDWELL,"Physiologist, Bureau of Plant Industry, Department of Agriculture, Washington, D.C.",A Study of the Effects of Certain Antagonistic Solutions upon the Growth of Zea mays. ,,,,,,,,,,,
1914,THE DIVISION OF THE BIOLOGICAL SCIENCES,BOTANY,EDWARD MARIS HARVEY,"Professor of Horticultural Research, Oregon Agricultural College, Corvallis, Ore.",Some Effects of Ethylene on the Metabolism of Plants.,,,,,,,,,,,
1914,THE DIVISION OF THE BIOLOGICAL SCIENCES,BOTANY,FLORENCE ANNA MCCORMICK,"Plant Pathologist, Connecticut Agricultural Experiment Station, New Haven, Conn.","A Study of Symphyogyna aspera. GEORGE BURTON RIGG, Professor of Botany, University of Washington, Seattle, Wash. Decay and Soil Toxins.",,,,,,,,,,,
1914,THE DIVISION OF THE BIOLOGICAL SCIENCES,BOTANY,EVA ORMENTA SCHLEY,"Teacher of Physiology, McKinley High School, Chicago, Ill.",Physical and Chemical Changes Involved in Geo-presentation and Geo- reaction.,,,,,,,,,,,
1914,THE DIVISION OF THE BIOLOGICAL SCIENCES,BOTANY,JAMES PALM STOBER,"Professor of Biology, Albright College, Reading, Pa.",A Comparative Study of Winter and Summer Leaves of Various Herbs.,,,,,,,,,,,
1915,THE DIVISION OF THE BIOLOGICAL SCIENCES,BOTANY,HERMANN BACHER DEUTSCH,"Editor, New Orleans Item, New Orleans, La.",Effect of Light upon the Germination of the Spores of the True Ferns.,,,,,,,,,,,
1915,THE DIVISION OF THE BIOLOGICAL SCIENCES,BOTANY,SARAH LUCINDA DOUBT,"Professor and Head of the Department of Botany, Washburn College, Topeka, Kan.",Response of Plants to Illuminating Gas.,,,,,,,,,,,
1915,THE DIVISION OF THE BIOLOGICAL SCIENCES,BOTANY,JAMES FREDERICK GROVES,"Professor and Head of Department of Botany, Ripon College, Ripon, Wis.",Life Duration of Seeds.,,,,,,,,,,,
1915,THE DIVISION OF THE BIOLOGICAL SCIENCES,BOTANY,RACHEL EMILIE HOFFSTADT,"Assistant Professor of Bacteriology, University of Washington, Seattle, Wash.",The Vascular Anatomy of Piper methysticum.,,,,,,,,,,,
1915,THE DIVISION OF THE BIOLOGICAL SCIENCES,BOTANY,ANDREW HENDERSON HUTCHINSON,"Professor and Head of the Department of Botany, University of British Columbia, Vancouver, B.C.",Fertilization in Abies balsamea.,,,,,,,,,,,
1915,THE DIVISION OF THE BIOLOGICAL SCIENCES,BOTANY,MILLARD S. MARKLE,"Professor of Botany, Earlham College, Earlham, Ind.",The Root Systems of Certain Desert Plants.,,,,,,,,,,,
1915,THE DIVISION OF THE BIOLOGICAL SCIENCES,BOTANY,MABEL LEWIS ROE,"Instructor in Botany, Long Beach Junior College, Long Beach, Calif.",The Development of the Conceptacle in Fucus.,,,,,,,,,,,
1915,THE DIVISION OF THE BIOLOGICAL SCIENCES,BOTANY,CHARLES ALBERT SHULL,"Professor of Botany, University of Chicago, Chicago, Ill.",Measurement of the Surface Forces in Soils.,,,,,,,,,,,
1915,THE DIVISION OF THE BIOLOGICAL SCIENCES,BOTANY,ARTHUR GIBSON VESTAL,"Associate Professor of Plant Ecology, University of Illinois, Urbana, Ill.",The Phytogeography of the Eastern Mountain-Front in Colorado.,,,,,,,,,,,
1916,THE DIVISION OF THE BIOLOGICAL SCIENCES,BOTANY,FRANK EARL DENNY,"Plant Physiologist, Boyce Thompson Institute for Plant Research, Yonkers, N.Y.",Permeability of Certain Plant Membranes to Water.,,,,,,,,,,,
1916,THE DIVISION OF THE BIOLOGICAL SCIENCES,BOTANY,ALPHAEUS WILLIAM DUPLER,"(Died June 9, 1928.)",The Gametophytes of Taxus canadensis Marsh. ,,,,,,,,,,,
1916,THE DIVISION OF THE BIOLOGICAL SCIENCES,BOTANY,WRIGHT AUSTIN GARDNER,"Professor and Head of the Department of Botany, Alabama Polytechnic Institute, Auburn, Ala.",The Effect of Light on the Germination of Seeds.,,,,,,,,,,,
