Year,Division,Department,Name,Post,Diss_Title,,,,,,,,,,,
1924,THE DIVISION OF THE SOCIAL SCIENCES,HISTORY,FRANK LAWRENCE OWSLEY,"Professor of History, Vanderbilt University, Nashville, Tenn.",States' Rights and the Downfall of the Confederacy.
1924,THE DIVISION OF THE SOCIAL SCIENCES,HISTORY,JULIUS WILLIAM PRATT,"Emanuel Boasberg Professor of American History and Head of the Department of History, University of Buffalo, Buffalo, N.Y.",Expansionists of 1812.
1925,THE DIVISION OF THE SOCIAL SCIENCES,HISTORY,ELIZABETH CABLE BROOK,"Associate Professor of History, Randolph-Macon Woman's College, Lynchburg, Va.","The Struggle for the Adoption of the Interstate Commerce Commission, 1872-87."
1925,THE DIVISION OF THE SOCIAL SCIENCES,HISTORY,WALTER LOUIS DORN,"Professor of History, Ohio State University, Columbus, Ohio.",The Conflict of Humanitarianism and Reasons of State in the Youth of Frederick the Great.
1925,THE DIVISION OF THE SOCIAL SCIENCES,HISTORY,HOWARD COPELAND HILL,"Assistant Professor of the Teaching of Social Studies, College of Education, and Head of the Department of Social Science, University High School, University of Chicago, Chicago, Ill.",Roosevelt's Policy in the Caribbean.
1925,THE DIVISION OF THE SOCIAL SCIENCES,HISTORY,AMANDA JOHNSON,"Head of the Department of History, Georgia State College for Women, Milledgeville, Ga.",The Michigan Fur Trade.
1925,THE DIVISION OF THE SOCIAL SCIENCES,HISTORY,LOREN CAREY MACKINNEY,"Professor of History, University of North Carolina, Chapel Hill. N.C.",Group Consciousness in Certain Phases of the Religious Life of the Eleventh Century.
1925,THE DIVISION OF THE SOCIAL SCIENCES,HISTORY,CLIFFORD HOMER MOORE,"Professor of History, Ripon College, Ripon, Wis.","Ohio in National Politics, 1865-96."
1925,THE DIVISION OF THE SOCIAL SCIENCES,HISTORY,HERMAN CLARENCE NIXON,"Associate Professor of History, Tulane University of Louisiana, New Orleans, La.",The Populist Movement in Iowa.
1925,THE DIVISION OF THE SOCIAL SCIENCES,HISTORY,FREMONT PHILIP WIRTH,"Professor of the Teaching of History, George Peabody College for Teachers, Nashville, Tenn.",The Disposition of the Iron Lands in Minnesota.
1926,THE DIVISION OF THE SOCIAL SCIENCES,HISTORY,ALICE MARY BALDWIN,"Dean of the Women's College; Associate Professor of History, Duke University, Durham, N.C.",The Influence of the New England Clergy upon the Constitutional Doctrines of the American Revolution.
1926,THE DIVISION OF THE SOCIAL SCIENCES,HISTORY,JEAN INGRAM BROOKES,"Assistant Professor of History, Goucher College, Baltimore, Md.","Anglo-French Rivalry in the Pacific Islands, 1815-61."
1926,THE DIVISION OF THE SOCIAL SCIENCES,HISTORY,ANDREW WELLINGTON CORDIER,"Professor and Head of the Department of History, Manchester College, North Manchester, Ind.",The Reconstruction of Southern France after the Albigensian Crusade.
1926,THE DIVISION OF THE SOCIAL SCIENCES,HISTORY,ELIJAH JEROME JAMES,"Professor and Head of the Department of History, Hanover College, Hanover, Ind.",A History of the Anglo-Persian Relations from 1275 to 1650.
1926,THE DIVISION OF THE SOCIAL SCIENCES,HISTORY,CLARENCE RAY KEIM,"Professor of American History, Manchester College, North Manchester, Ind.",Influence of the Primogeniture and Entail in the Development of Virginia.
1926,THE DIVISION OF THE SOCIAL SCIENCES,HISTORY,VERNON FRANKLIN SCHWALM,"President, McPherson College, McPherson, Kan.",The Historical Development of the Denominational Colleges of the Old Northwest to 1870.
1927,THE DIVISION OF THE SOCIAL SCIENCES,HISTORY,MARY BERNARD ALLEN,"Instructor in History, H. Sophie Newcomb Memorial College, New Orleans, La.","Joseph Holt, Judge Advocate General (1862-1875); A Study in the Treatment of Political Prisoners by the United States Government during the Civil War."
1927,THE DIVISION OF THE SOCIAL SCIENCES,HISTORY,"MARION DARGAN, JR.","Professor of History and Head of the Department, University of New Mexico, Albuquerque, N.M.",William Henry Drayton and the Revolution in South Carolina.
1927,THE DIVISION OF THE SOCIAL SCIENCES,HISTORY,LEWIS ETHAN ELLIS,"Assistant Professor of History, Rutgers University, New Brunswick, N.J.","A History of the Chicago Delegation in Congress, 1843-1925."
1927,THE DIVISION OF THE SOCIAL SCIENCES,HISTORY,WILLIAM THOMAS HUTCHINSON,"Associate Professor of History, University of Chicago, Chicago, Ill.",Military Bounty Lands of the American Revolution in Ohio.
1927,THE DIVISION OF THE SOCIAL SCIENCES,HISTORY,BARNABAS HAI-TSUNG LEI,"Associate Professor and Chairman' of the Department of History, National Central University, Nanking, China.",Political Ideas of Turgot.
1927,THE DIVISION OF THE SOCIAL SCIENCES,HISTORY,BENJAMIN HARRISON PERSHING,"Dean of Men and Associate Professor of History, Wittenberg College, Springfield, Ohio.",Winthrop Sargent: A Builder in the Old Northwest.
1927,THE DIVISION OF THE SOCIAL SCIENCES,HISTORY,ANDREW JACKE TOWNSEND,"Instructor of History and Civics, Chicago Normal College, Chicago, Ill.",The Germans in Chicago.
1928,THE DIVISION OF THE SOCIAL SCIENCES,HISTORY,EUGENE NEWTON ANDERSON,"Instructor in History, University of Chicago, Chicago, Ill.","The First Moroccan Crisis, 1904-1906."
1928,THE DIVISION OF THE SOCIAL SCIENCES,HISTORY,CONRAD J. I. BERGENDOFF,"Pastor, Salem Lutheran Church, 7352 Calumet Ave. Chicago, Ill.","Olavus Petri and the Ecclesiastical Transformation in Sweden, 1521-1552."
1928,THE DIVISION OF THE SOCIAL SCIENCES,HISTORY,HENRY STEELE COMMAGER,"Associate Professor of History, New York University, New York City.",Struensee and the Reform Movement in Denmark.
1928,THE DIVISION OF THE SOCIAL SCIENCES,HISTORY,MORRISON BEALL GIFFEN,"Department of State, Washington, D.C.","Fashoda, the Incident and Its Diplomatic Setting."
1928,THE DIVISION OF THE SOCIAL SCIENCES,HISTORY,RAYMOND CURTIS MILLER,"Associate Professor of History, College of the City of Detroit, Detroit, Mich.",The Populist Party in Kansas.
1928,THE DIVISION OF THE SOCIAL SCIENCES,HISTORY,"HAYWOOD JEFFERSON PEARCE, JR.","Vice President and Professor of History, Brenau College, Gainesville, Ga.","Benjamin H. Hill, Secession and Reconstruction."
1928,THE DIVISION OF THE SOCIAL SCIENCES,HISTORY,JENNINGS BRYAN SANDERS,"Assistant Professor of History, University of Alabama, Tuscaloosa, Ala.","The Development of the Executive Departments of the Continental Congress, 1774-1789."
1928,THE DIVISION OF THE SOCIAL SCIENCES,HISTORY,WATT STEWART,"Professor of History, Oklahoma Agricultural and Mechanical College, Stillwater, Okla.",Early United States-Argentine Diplomatic Relations.
1928,THE DIVISION OF THE SOCIAL SCIENCES,HISTORY,CLIFTON EDWIN VAN SICKLE,"Professor of History and Head of the Department, Ohio Wesleyan University, Delaware, Ohio.",The Coregency and the Succession in the Early Roman Empire.
1928,THE DIVISION OF THE SOCIAL SCIENCES,HISTORY,MAUDE HOWLETT WOODFIN,"Associate Professor of History, Westhampton College, University of Richmond, Richmond, Va.",Citizen Genet and His Mission.
1929,THE DIVISION OF THE SOCIAL SCIENCES,HISTORY,LULA CAINE,"State Normal School, Superior, Wis.",Conditions Underlying the Minor Wars and Interventions of the United States.
1929,THE DIVISION OF THE SOCIAL SCIENCES,HISTORY,"PHILIP GRANT DAVIDSON, JR.","Professor of History, Agnes Scott College, Decatur, Ga.","Revolutionary Propaganda in New England, New York, and Pennsylvania, 1763-76."
1929,THE DIVISION OF THE SOCIAL SCIENCES,HISTORY,RALPH RAY FAHRNEY,"Assistant Professor of History, Iowa State Teachers College, Cedar Falls, Iowa.","Horace Greeley, the Tribune, and the Civil War."
1929,THE DIVISION OF THE SOCIAL SCIENCES,HISTORY,SISTER EUCHARISTA GALVIN,"Professor of History, College of St. Catherine, St. Paul, Minn.","The Influences and Conditions Affecting the Settlement of Minnesota, 1837-60."
1929,THE DIVISION OF THE SOCIAL SCIENCES,HISTORY,FRED BUNYAN JOYNER,"Assistant Professor of History, Miami University, Oxford, Ohio.",Life and Public Services of David Ames Wells.
1929,THE DIVISION OF THE SOCIAL SCIENCES,HISTORY,ERNEST LAUER,"Assistant Professor of History, Northwestern University, Evanston, Ill.",The Significance of the Town Wall in the Development of the Medieval City.
1929,THE DIVISION OF THE SOCIAL SCIENCES,HISTORY,LEWIS WILLIAM NEWTON,"Director of the Department of History, North Texas State Teachers College, Denton, Tex.","The Americanization of French Louisiana. A Study of the Process of Adjustment between the French and the Anglo-American Population of Louisiana, 1803-60."
1929,THE DIVISION OF THE SOCIAL SCIENCES,HISTORY,JAMES HEDLEY PEELING,"Associate Professor of Social Science, Butler University, Indianapolis, Ind.","The Public Life of Thomas McKean, 1734-1817."
1929,THE DIVISION OF THE SOCIAL SCIENCES,HISTORY,DONNAL VORE SMITH,"Assistant Professor of History, New York State College for Teachers, Albany, N.Y.",Salmon P. Chase and Civil War Politics.
1929,THE DIVISION OF THE SOCIAL SCIENCES,HISTORY,FLORENCE EMELINE SMITH,"Assistant Professor of History, Agnes Scott College, Decatur, Ga.",The Populist Movement and Its Influence in North Carolina.
1929,THE DIVISION OF THE SOCIAL SCIENCES,HISTORY,HARRISON JOHN THORNTON,"Assistant Professor of History, University of Iowa, Iowa City, Iowa.",The History of the Quaker Oats Company.
1929,THE DIVISION OF THE SOCIAL SCIENCES,HISTORY,WILLIAM THOMAS UTTER,"Professor of History and Head of the Department, Denison University, Granville, Ohio.","Ohio Politics and Politicians, 1802-15."
1930,THE DIVISION OF THE SOCIAL SCIENCES,HISTORY,MARY ELIZABETH COCHRAN,"Associate Professor of History, Kansas State Teachers College, Pittsburgh, Kan.","A History of Restriction of American Immigration, 1607-1820."
1930,THE DIVISION OF THE SOCIAL SCIENCES,HISTORY,KATHARINE ELIZABETH CRANE,"Professor and Head of the Department of History, Mary Baldwin College, Staunton, Va.",Some Basic Factors in Indian Land Cessions: with Especial Reference to the Old Northwest before 1811.
1930,THE DIVISION OF THE SOCIAL SCIENCES,HISTORY,FLORENCE MARGUERITE EDLER,"Research Assistant, Graduate School of Business Administration, Harvard University, Cambridge, Mass.",The Silk Trade of Lucca during the Thirteenth and Fourteenth Centuries.
1930,THE DIVISION OF THE SOCIAL SCIENCES,HISTORY,SAMUEL WILLIAM HALPERIN,"Instructor in History, University of Chicago, Chicago, Ill.",Anglo-German Naval Rivalry before the World War.
1930,THE DIVISION OF THE SOCIAL SCIENCES,HISTORY,SAMUEL PROCTOR MCCUTCHEN,"Head of the Department of Social Studies, John Burroughs School, St. Louis County, Mo.",The Political Career of Albert Gallatin Brown.
1930,THE DIVISION OF THE SOCIAL SCIENCES,HISTORY,ANNIE MARIE POPPER,"Assistant Professor of History, Florida State College for Women, Tallahassee, Fla.","Austro-German Relations, 1890–1909."
1930,THE DIVISION OF THE SOCIAL SCIENCES,HISTORY,JOEL EDWARD RICKS,"Professor of History, Utah Agricultural College, Logan, Utah.","Forms and Methods of Early Mormon Settlement in Utah and the Surrounding Region, 1847 to 1877."
1930,THE DIVISION OF THE SOCIAL SCIENCES,HISTORY,JOE PATTERSON SMITH,"Professor and Head of the Department of History, Illinois College, Jacksonville, Ill.","The Manuscript Tradition of the Old French ""Partonopeus de Blois.”"
1930,THE DIVISION OF THE SOCIAL SCIENCES,HISTORY,TRACY ELMER STREVEY,"Research Assistant for the Social Science Research Committee, University of Chicago, Chicago, Ill.","Joseph Medill and the ""Chicago Tribune"" during the Civil War Period."
1930,THE DIVISION OF THE SOCIAL SCIENCES,HISTORY,JOHN WILLS TAYLOR,"Professor of History, Carroll College, Waukesha, Wis.","Reservation and Leasing of the Salines, Lead, and Copper Mines of the Public Domain."
1931,THE DIVISION OF THE SOCIAL SCIENCES,HISTORY,ERNA RISCH., ,"Encouragement and Aid to Immigrants, 1607–1830."
1898,THE DIVISION OF THE SOCIAL SCIENCES,POLITICAL SCIENCE,LAWRENCE BOYD EVANS,"(Died October 30, 1928.)",The Development of Government in Illinois.
1898,THE DIVISION OF THE SOCIAL SCIENCES,POLITICAL SCIENCE,ETHEL GLOVER HATFIELD,"(Mrs. Henry R. Hatfield), 2633 LeConte Ave., Berkeley, Calif",The Department of the Interior.
1898,THE DIVISION OF THE SOCIAL SCIENCES,POLITICAL SCIENCE,ANNA LONG DOLMAN INSKEEP,"(Mrs. L. D.), 2509 Parker St., Berkeley, Calif.",Local Government in California to 1879.
1899,THE DIVISION OF THE SOCIAL SCIENCES,POLITICAL SCIENCE,SAMUEL CHILES MITCHELL,"Professor of History and Political Science, University of Richmond, Richmond, Va",The Change from Colony to Commonwealth in Virginia.
1901,THE DIVISION OF THE SOCIAL SCIENCES,POLITICAL SCIENCE,SOPHONISBA PRESTON BRECKINRIDGE,"Professor of Social Economy, University of Chicago, Chicago, Ill.",Legal Tender: A Study in English and American Monetary History.
1902,THE DIVISION OF THE SOCIAL SCIENCES,POLITICAL SCIENCE,JEREMIAH SIMEON YOUNG,"Professor of History and Political Science, University of Minnesota, Minneapolis, Minn",The Cumberland Road.
1905,THE DIVISION OF THE SOCIAL SCIENCES,POLITICAL SCIENCE,WALTER FAIRLEIGH DODD,"Professor of Law, Yale University, New Haven, Conn",The State Governments of the American Revolution.
1907,THE DIVISION OF THE SOCIAL SCIENCES,POLITICAL SCIENCE,IRA CALVERT HAMILTON,"Mt. Greenwood, Ill",The History of Administration in Illinois.
1907,THE DIVISION OF THE SOCIAL SCIENCES,POLITICAL SCIENCE,AUGUSTUS RAYMOND HATTON,"Professor of Political Science, Northwestern University, Evanston, Ill.",An Introduction to the Study of Civil Service Reform in the United States.
1908,THE DIVISION OF THE SOCIAL SCIENCES,POLITICAL SCIENCE,SAMUEL MACCLINTOCK,"The National City Company, 137 S. La Salle St., Chicago, Ill.",Federal Legislation Regarding Aliens.
1908,THE DIVISION OF THE SOCIAL SCIENCES,POLITICAL SCIENCE,SUSAN WADE PEABODY,"5515 Woodlawn Ave., Chicago, Ill",The Relation of Government to Public Health.
1915,THE DIVISION OF THE SOCIAL SCIENCES,POLITICAL SCIENCE,ELDON COBB EVANS,"(Died September 26, 1918.)",The History of the Australian Ballot in the United States.
1918,THE DIVISION OF THE SOCIAL SCIENCES,POLITICAL SCIENCE,KIRK HAROLD PORTER,"Associate Professor of Political Science, State University of Iowa, Iowa City, Ia.",A History of Suffrage in the United States.
1921,THE DIVISION OF THE SOCIAL SCIENCES,POLITICAL SCIENCE,CHRISTEN JENSEN,"Professor and Head of the Department of History and Political Science, and Dean of Graduate School, Brigham Young University, Provo, Utah",The Pardoning Power in the American States.
1921,THE DIVISION OF THE SOCIAL SCIENCES,POLITICAL SCIENCE,LEONARD DUPEE WHITE,"Professor of Public Administration, University of Chicago, Chicago, Ill",The Origin of Utility Commissions in Massachusetts.
1922,THE DIVISION OF THE SOCIAL SCIENCES,POLITICAL SCIENCE,HAROLD Foote Gosnell,"Assistant Professor of Political Science, University of Chicago, Chicago, Ill.",Thomas C. Platt-Political Manager.
1923,THE DIVISION OF THE SOCIAL SCIENCES,POLITICAL SCIENCE,JOSEPH PRATT HARRIS,"Professor of Political Science, University of Washington, Seattle, Wash.",Registration for Voting in the United States.
1923,THE DIVISION OF THE SOCIAL SCIENCES,POLITICAL SCIENCE,JOSEPH BUSH KINGSBURY,"Professor of Political Science, St. John's College, Annapolis, Md.","Municipal Personnel Policy in Chicago, 1895-1915."
1924,THE DIVISION OF THE SOCIAL SCIENCES,POLITICAL SCIENCE,MARTIN LUTHER FAUST,"Assistant Professor of Political Science, University of Missouri, Columbia, Mo",The Custody of State Funds.
1924,THE DIVISION OF THE SOCIAL SCIENCES,POLITICAL SCIENCE,JOHN GREENLEAF WHITTIER LEWIS,"Professor and Head of the Department of History and Political Science, State Teachers' College, Wayne, Neb",The Nebraska Constitutional Convention of 1919-1920.
1924,THE DIVISION OF THE SOCIAL SCIENCES,POLITICAL SCIENCE,LOUISE OVERACKER,"Professor of Political Science, Wellesley College, Wellesley, Mass",The Presidential Primary.
1926,THE DIVISION OF THE SOCIAL SCIENCES,POLITICAL SCIENCE,HERMAN CAREY BEYLE,"Professor of Political Science, Syracuse University, Syracuse, N.Y.",Governmental Reporting in Chicago.
1926,THE DIVISION OF THE SOCIAL SCIENCES,POLITICAL SCIENCE,VICTOR KENNETH JOHNSTON,"Board of Historical Publications, Ottawa, Canada",The International Status of the British Dominions.
1926,THE DIVISION OF THE SOCIAL SCIENCES,POLITICAL SCIENCE,HAROLD DWIGHT LASSWELL,"Assistant Professor of Political Science, University of Chicago, Chicago, Ill.",Propaganda Technique in the World War.
1926,THE DIVISION OF THE SOCIAL SCIENCES,POLITICAL SCIENCE,MARIETTA STEVENSON,"Children's Bureau, Washington, D.C.",William Jennings Bryan as a Political Leader.
1926,THE DIVISION OF THE SOCIAL SCIENCES,POLITICAL SCIENCE,AMRY VANDENBOSCH,"Assistant Professor in Political Science, University of Kentucky, Lexington, Ky.",Dutch Neutrality during the World-War.
1926,THE DIVISION OF THE SOCIAL SCIENCES,POLITICAL SCIENCE,CARROLL HILL WOODDY,"Assistant Professor of Political Science, University of Chicago, Chicago, Ill",The Direct Primary in Chicago.
1927,THE DIVISION OF THE SOCIAL SCIENCES,POLITICAL SCIENCE,CLAUDIUS OSBORNE JOHNSON,"Professor of Political Science and Head of the Department of Political Science and History, Washington State University, Pullman, Wash.",Carter Henry Harrison I: A Study in Political Leadership.
1927,THE DIVISION OF THE SOCIAL SCIENCES,POLITICAL SCIENCE,WALTER HERMAN Carl Laves,"Assistant Professor of Political Science, Hamilton College, Clinton, N.Y.","German Governmental Influences on Foreign Investments, 1871-1914."
1927,THE DIVISION OF THE SOCIAL SCIENCES,POLITICAL SCIENCE,MADGE MAUDE MCKINNEY,"Instructor in Political Science, Hunter College of the City of New York, New York, N.Y.",Certain Characteristics of Citizens.
1927,THE DIVISION OF THE SOCIAL SCIENCES,POLITICAL SCIENCE,ROY VICTOR PEEL,"Assistant Professor of Government, Washington Square College, New York University, New York, N.Y.",James Gillespie Blaine: A Study in Political Leadership.
1927,THE DIVISION OF THE SOCIAL SCIENCES,POLITICAL SCIENCE,FRED LEWIS SCHUMAN,"Instructor in Political Science, University of Chicago, Chicago, Ill.","American Policy toward Russia, 1917-27."
1927,THE DIVISION OF THE SOCIAL SCIENCES,POLITICAL SCIENCE,SHAO HWA TAN,"120 Wing Lok Street, Hongkong, China",The Diplomacy of American Investments in China.
1927,THE DIVISION OF THE SOCIAL SCIENCES,POLITICAL SCIENCE,HUA CHENG WANG,"Geneva, Switzerland.",Measures of Reparation of International Delinquencies.
1927,THE DIVISION OF THE SOCIAL SCIENCES,POLITICAL SCIENCE,ELIZABETH ANNE WEBER,"Instructor in Political Science, Hunter College, New York, N.Y.",Induction into Citizenship.
1928,THE DIVISION OF THE SOCIAL SCIENCES,POLITICAL SCIENCE,HARWOOD LAURENCE CHILDS,"Professor of Political Science, Princeton University, Princeton, N.J",The American Federation of Labor and the Chamber of Commerce of the United States as Quasi-Governmental Agencies.
1928,THE DIVISION OF THE SOCIAL SCIENCES,POLITICAL SCIENCE,HELEN DAY HILL,"(Mrs. Miller), Fairfax, Va",The Group and the State: Some Recent Revisions of State Theory.
1928,THE DIVISION OF THE SOCIAL SCIENCES,POLITICAL SCIENCE,ROBERT FOSTER STEADMAN,"Assistant Professor of Political Science, Syracuse University, Syracuse, N.Y.",Protection of Public Health by Government in the Region of Chicago.
1928,THE DIVISION OF THE SOCIAL SCIENCES,POLITICAL SCIENCE,FRANK MANN STEWART,"Professor of Political Science, University of Texas, Austin, Tex","The National Civil Service Reform League, History, Activities, Problems."
1929,THE DIVISION OF THE SOCIAL SCIENCES,POLITICAL SCIENCE,JOSEPH Pors,"Jacobs and Company, Efficiency Engineers, Chicago, Ill",The Recruitment of Police.
1929,THE DIVISION OF THE SOCIAL SCIENCES,POLITICAL SCIENCE,PAAK SHING Wu,China,The Federal Inspectorate.
1930,THE DIVISION OF THE SOCIAL SCIENCES,POLITICAL SCIENCE,LOWRY ALFRED DORAN,"Nixa, Mo.","Political Parties in Maine, 1900–1925."
1930,THE DIVISION OF THE SOCIAL SCIENCES,POLITICAL SCIENCE,DAVID MACRUM MAYNARD,"Assistant Trade Adviser, Department of Commerce, Hongkong, China",The Operation of the Referendum in Chicago.
1930,THE DIVISION OF THE SOCIAL SCIENCES,POLITICAL SCIENCE,CARLTON C. SIMS,"Chairman, Department of History and Political Science, Middle Tennessee State Teachers College, Murfreesboro, Tenn.",County Government in Tennessee.
1895,THE DIVISION OF THE SOCIAL SCIENCES,SOCIOLOGY AND ANTHROPOLOGY,JEROME HALL RAYMOND,"(Died February 22, 1928.)",American Municipal Government.
1895,THE DIVISION OF THE SOCIAL SCIENCES,SOCIOLOGY AND ANTHROPOLOGY,FREDERIC WILLIAM SANDERS,(Died 1920.),An Exposition in Outline of the Relation of Certain Economic Principles to Social Readjustment.
1896,THE DIVISION OF THE SOCIAL SCIENCES,SOCIOLOGY AND ANTHROPOLOGY,WILLIAM ISAAC THOMAS,"New School for Social Research, New York, N.Y.",On a Difference of the Metabolism of the Sexes.
1896,THE DIVISION OF THE SOCIAL SCIENCES,SOCIOLOGY AND ANTHROPOLOGY,GEORGE EDGAR VINCENT,"Greenwich, Conn.",Sociology and the Integration of Studies.
1897,THE DIVISION OF THE SOCIAL SCIENCES,SOCIOLOGY AND ANTHROPOLOGY,DAVID PRESCOTT BARROWS,"Professor of Political Science and Dean of the Faculties, University of California, Berkeley, Calif.",The Ethnobotany of Coahuila Indians of Southern California.
1897,THE DIVISION OF THE SOCIAL SCIENCES,SOCIOLOGY AND ANTHROPOLOGY,HANNAH BELLE CLARK,"(Mrs. Ambrose V. Powell), 5227 Blackstone Ave., Chicago, Ill.",The Public Schools of Chicago: A Sociological Study.
1897,THE DIVISION OF THE SOCIAL SCIENCES,SOCIOLOGY AND ANTHROPOLOGY,MERTON LELAND MILLER,"4517 Lometa Street, Los Angeles, Calif.","A Preliminary Study of the Pueblos of Taos, New Mexico."
1897,THE DIVISION OF THE SOCIAL SCIENCES,SOCIOLOGY AND ANTHROPOLOGY,PAUL MONROE,"Professor of the History of Teaching, Teachers College, Columbia University, New York, N.Y.",Profit Sharing: A Study in Social Economics.
1898,THE DIVISION OF THE SOCIAL SCIENCES,SOCIOLOGY AND ANTHROPOLOGY,IRA WOODS HOWERTH,"Professor and Head of the Department of Sociology and Economics, Colorado State Teachers College, Greeley, Colo.",The Social Aim in Education.
1899,THE DIVISION OF THE SOCIAL SCIENCES,SOCIOLOGY AND ANTHROPOLOGY,CHARLES ABRAM ELLWOOD,"Professor and Head of the Department of Sociology, Duke University, Durham, N.C.",Some Prolegomena to Social Psychology.
1899,THE DIVISION OF THE SOCIAL SCIENCES,SOCIOLOGY AND ANTHROPOLOGY,WILLIAM CLARK GORDON,"Professor of Homiletics and Psychology of Religion, Howard University, Washington, D.C.",The Social Ideals of Alfred Tennyson as Related to His Time.
1900,THE DIVISION OF THE SOCIAL SCIENCES,SOCIOLOGY AND ANTHROPOLOGY,JACOB DORSEY FORREST,"Corporation Executive, Indianapolis, Ind.",The Development of Industrial Organizations.
1900,THE DIVISION OF THE SOCIAL SCIENCES,SOCIOLOGY AND ANTHROPOLOGY,ANNIE MARION MACLEAN,"Extension Assistant Professor of Sociology, University of Chicago, Chicago, Ill.",The Acadian Element in the Population of Nova Scotia.
1901,THE DIVISION OF THE SOCIAL SCIENCES,SOCIOLOGY AND ANTHROPOLOGY,CHARLES JOSEPH BUSHNELL,"Professor of Sociology, University of Toledo, Toledo, Ohio.","A Study of the Stock Yards Community at Chicago, as a Typical Example of the Bearing of Modern Industry upon Democracy, with Constructive Suggestions."
1901,THE DIVISION OF THE SOCIAL SCIENCES,SOCIOLOGY AND ANTHROPOLOGY,JOHN MORRIS GILLETTE,"Professor and Head of the Department of Sociology, University of North Dakota, University P.O., N.D.","The Culture Agencies of a Typical Manufacturing Group, South Chicago."
1902,THE DIVISION OF THE SOCIAL SCIENCES,SOCIOLOGY AND ANTHROPOLOGY,EDWARD CARY HAYES,(Died 1928.),The Sociologist's Object of Attention.
1903,THE DIVISION OF THE SOCIAL SCIENCES,SOCIOLOGY AND ANTHROPOLOGY,AMY HEWES,"Professor of Economics and Sociology, Mount Holyoke College, South Hadley, Mass.",The Part of Invention in the Social Process.
1904,THE DIVISION OF THE SOCIAL SCIENCES,SOCIOLOGY AND ANTHROPOLOGY,ROMANZO COLFAX ADAMS,"Professor of Economics and Sociology, University of Hawaii, Honolulu, T.H.",A Technique for Sociological Research.
1904,THE DIVISION OF THE SOCIAL SCIENCES,SOCIOLOGY AND ANTHROPOLOGY,THOMAS JAMES RILEY,"Director, Bureau of Charities, Brooklyn, N.Y.",A Study of the Higher Life of Chicago.
1905,THE DIVISION OF THE SOCIAL SCIENCES,SOCIOLOGY AND ANTHROPOLOGY,HERBERT EASTON FLEMING,"Vice-President and General Manager, The Conover Company, 140 So. Dearborn St., Chicago, Ill.",Some Phases of the Production and Consumption of Literature in Chicago.
1906,THE DIVISION OF THE SOCIAL SCIENCES,SOCIOLOGY AND ANTHROPOLOGY,EBEN MUMFORD,"State Leader of County Agricultural Agents, East Lansing, Mich.",The Beginning of Authority.
1906,THE DIVISION OF THE SOCIAL SCIENCES,SOCIOLOGY AND ANTHROPOLOGY,MABEL CARTER RHOADES,"424 Walnut Place, Syracuse, N.Y.",A Case Study of Delinquent Boys in the Juvenile Court of Chicago.
1906,THE DIVISION OF THE SOCIAL SCIENCES,SOCIOLOGY AND ANTHROPOLOGY,ERVILLE BARTLETT WOODS,"Professor and Head of the Department of Sociology, Dartmouth College, Hanover, N.H.",Progress as a Sociological Concept.
1907,THE DIVISION OF THE SOCIAL SCIENCES,SOCIOLOGY AND ANTHROPOLOGY,GUSTAVUS WALKER DYER,"Professor of Sociology, Vanderbilt University, Nashville, Tenn.",Democracy in the South before the Civil War.
1907,THE DIVISION OF THE SOCIAL SCIENCES,SOCIOLOGY AND ANTHROPOLOGY,HOWARD WOODHEAD,"(Died June 8, 1919.)",The Social Significance of the Physical Development of Cities.
1908,THE DIVISION OF THE SOCIAL SCIENCES,SOCIOLOGY AND ANTHROPOLOGY,CECIL CLARE NORTH,"Professor of Sociology, Ohio State University, Columbus, Ohio.",The Influence of Modern Social Relations upon Ethical Concepts.
1910,THE DIVISION OF THE SOCIAL SCIENCES,SOCIOLOGY AND ANTHROPOLOGY,LUTHER LEE BERNARD,"Professor of Sociology, Washington University, St. Louis, Mo.",The Transition to an Objective Standard of Social Control.
1910,THE DIVISION OF THE SOCIAL SCIENCES,SOCIOLOGY AND ANTHROPOLOGY,FRANCES FENTON,"(Mrs. Edwin S. Park), Dean of Women, Smith College, Northampton, Mass.",The Influence of Newspaper Presentations upon the Growth of Crime and Other Antisocial Activity.
1910,THE DIVISION OF THE SOCIAL SCIENCES,SOCIOLOGY AND ANTHROPOLOGY,HECTOR MACPHERSON,"Professor of Economics and Sociology, Oregon State College, Corvallis, Ore.",Co-operative Credit Associations in the Province of Quebec.
1911,THE DIVISION OF THE SOCIAL SCIENCES,SOCIOLOGY AND ANTHROPOLOGY,EMORY STEPHEN BOGARDUS,"Professor of Sociology; Director of the School of Social Welfare, University of Southern California, Los Angeles, Calif.",The Relation of Fatigue to Industrial Accidents.
1911,THE DIVISION OF THE SOCIAL SCIENCES,SOCIOLOGY AND ANTHROPOLOGY,SAMUEL NICHOLAS REEP,"Mortgages and Finance, Minneapolis, Minn.",Social Policy of Chicago Churches.
1912,THE DIVISION OF THE SOCIAL SCIENCES,SOCIOLOGY AND ANTHROPOLOGY,JULIUS TEMPLE HOUSE,"Professor and Head of the Department of English and Sociology, New River State School, Montgomery, W.Va.",Purpose the Variant of Theory.
1913,THE DIVISION OF THE SOCIAL SCIENCES,SOCIOLOGY AND ANTHROPOLOGY,ERNEST WATSON BURGESS,"Professor of Sociology, University of Chicago, Chicago, Ill.",The Function of Socialization in Social Evolution.
